arm,dataset,fold,n_train,n_val,n_test,best_val_bacc,epochs_run,bacc,mcc,macro_mae,classmean_mae,per_class_recall,image_root,dp_on,lp,aug,std,wce,train_ce_best,bmix,alpha,blocks,split,splits_sha256
w16_ft2_g,aptos2019,0,2636,293,733,0.7396515349919977,19,0.6836346652553518,0.7241953530866715,0.2319236016371077,0.3987315364315693,"[0.9778393351800554, 0.7162162162162162, 0.695, 0.4358974358974359, 0.5932203389830508]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,True,False,False,0.3921400119618671,False,,"[22, 23]",group,8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85
w16_ft2_g,aptos2019,1,2637,293,732,0.6586181909045477,30,0.639156313644975,0.6855028619380287,0.2841530054644808,0.4874494424938108,"[0.9778393351800554, 0.5675675675675675, 0.67, 0.42105263157894735, 0.559322033898305]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,True,False,False,0.1888900732666981,False,,"[22, 23]",group,8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85
w16_ft2_g,aptos2019,2,2636,293,733,0.7556896551724137,23,0.6747359167920227,0.733813628852305,0.208731241473397,0.3949275821921955,"[0.9889196675900277, 0.581081081081081, 0.765, 0.5641025641025641, 0.4745762711864407]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,True,False,False,0.3020834406701529,False,,"[22, 23]",group,8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85
w16_ft2_g,aptos2019,3,2636,294,732,0.6286569215392304,25,0.6888471048634437,0.7325909906079033,0.2336065573770492,0.4227898010692039,"[0.9806094182825484, 0.8513513513513513, 0.66, 0.34210526315789475, 0.6101694915254238]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,True,False,False,0.2976808512537944,False,,"[22, 23]",group,8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85
w16_ft2_g,aptos2019,4,2636,294,732,0.735316091954023,19,0.6635183937921392,0.7334250340539478,0.2390710382513661,0.4671046106607406,"[0.9806094182825484, 0.5405405405405406, 0.8090452261306532, 0.5128205128205128, 0.4745762711864407]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,True,False,False,0.4273965978404371,False,,"[22, 23]",group,8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85
w16_ft2_g,aptos2019,5,2636,293,733,0.6806321839080459,16,0.647233590364066,0.6972444900927071,0.2496589358799454,0.447250546967529,"[0.9750692520775623, 0.7297297297297297, 0.68, 0.46153846153846156, 0.3898305084745763]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,True,False,False,0.4348238608459147,False,,"[22, 23]",group,8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85
w16_ft2_g,aptos2019,6,2635,294,733,0.6866666666666668,18,0.6541970867420888,0.7581650963562759,0.199181446111869,0.4351899952551626,"[0.9944598337950139, 0.4864864864864865, 0.88, 0.38461538461538464, 0.5254237288135594]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,True,False,False,0.4026935627547706,False,,"[22, 23]",group,8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85
w16_ft2_g,aptos2019,7,2637,293,732,0.7129172913543228,31,0.674807285711929,0.7323057807483206,0.2226775956284153,0.4198978990258393,"[0.9584487534626038, 0.6621621621621622, 0.79, 0.42105263157894735, 0.5423728813559322]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,True,False,False,0.1947745467740588,False,,"[22, 23]",group,8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85
w16_ft2_g,aptos2019,8,2637,293,732,0.6887856071964018,27,0.6810597509220915,0.7420329963234379,0.2431693989071038,0.4453208332590689,"[0.9889196675900277, 0.6486486486486487, 0.7638190954773869, 0.46153846153846156, 0.5423728813559322]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,True,False,False,0.2715549750208127,False,,"[22, 23]",group,8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85
w16_ft2_g,aptos2019,9,2637,293,732,0.6653185907046477,15,0.6309234896194847,0.715506576460437,0.2472677595628415,0.483056155408895,"[0.9695290858725761, 0.4594594594594595, 0.83, 0.42105263157894735, 0.4745762711864407]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,True,False,False,0.4670164774103862,False,,"[22, 23]",group,8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85
w16_ft2_g,aptos2019,10,2636,293,733,0.6919444444444445,19,0.6989337464787486,0.7784820898006586,0.2032742155525238,0.4315055572317415,"[0.9944598337950139, 0.8108108108108109, 0.805, 0.358974358974359, 0.5254237288135594]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,True,False,False,0.4010303276704579,False,,"[22, 23]",group,8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85
w16_ft2_g,aptos2019,11,2636,293,733,0.6944444444444444,23,0.6709139547511771,0.7100840739538324,0.2346521145975443,0.4028117689536535,"[0.9501385041551247, 0.6216216216216216, 0.745, 0.46153846153846156, 0.576271186440678]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,True,False,False,0.3195880815023329,False,,"[22, 23]",group,8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85
w16_ft2_g,aptos2019,12,2637,293,732,0.6486206896551724,23,0.6624875155920276,0.7491158824841712,0.2062841530054645,0.4181967888354103,"[0.96398891966759, 0.5405405405405406, 0.865, 0.3157894736842105, 0.6271186440677966]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,True,False,False,0.3257247470773575,False,,"[22, 23]",group,8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85
w16_ft2_g,aptos2019,13,2637,293,732,0.6985844577711144,22,0.6174833618228819,0.7051809809212555,0.2650273224043716,0.5201396461124134,"[0.9916897506925207, 0.5135135135135135, 0.7738693467336684, 0.38461538461538464, 0.423728813559322]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,True,False,False,0.3247278489899344,False,,"[22, 23]",group,8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85
